timestamp,outlet,brand,platform,rating,text,language,username,order_type
2025-08-20 19:12,PIK Avenue - Pizza e Birra,Pizza e Birra,Google,5,"Pizzanya enak, service cepat. Akan kembali lagi!",id,ana**_,dine-in
2025-08-20 12:05,Grand Indonesia - Kitchenette,Kitchenette,Instagram,3,"Queue quite long at lunch, but staff stayed friendly.",en,user123,dine-in
2025-08-19 18:47,Central Park - Sushi Groove,Sushi Groove,DeliveryApp,2,"Order arrived late and soup spilled inside the bag.",en,jon**_,delivery
2025-08-19 20:33,Grand Indonesia - Social House,Social House,Google,4,"Ambience ok, steak a bit salty but cocktails were great.",en,lia**_,dine-in
2025-08-18 13:10,PIK Avenue - DJournal,DJournal,Google,1,"Pelayanan lambat, barista terlihat tidak peduli. Meja kotor.",id,agus**_,dine-in
2025-08-18 19:55,Plaza Indonesia - Kitchenette,Kitchenette,Instagram,5,"Loved the new salad. Portion cukup besar, worth it!",id,mel**_,dine-in
2025-08-17 21:22,CP - Sushi Groove,Sushi Groove,Google,3,"Sushi fresh, but soy sauce sachet missing in delivery.",en,mark**_,delivery
2025-08-17 17:05,PIK Avenue - Pizza e Birra,Pizza e Birra,Instagram,2,"Waited 35 minutes for pizza, anak sudah rewel.",id,rin**_,dine-in
2025-08-16 14:48,Grand Indonesia - Social House,Social House,Google,5,"Great service from Rina, super attentive. Thank you!",en,sam**_,dine-in
2025-08-16 11:30,PIK Avenue - DJournal,DJournal,DeliveryApp,4,"Kopi ok, sayang packaging cup kurang rapat jadi netes dikit.",id,tom**_,delivery
